106 DE DVRATIONE

 

 

 

 

 

 

 

 

 

 

 

   

 

 

 

 

 

 

 

 

 

 

Ι. ῐ 11. ΙΙΙ. ἱ lV.
Aetas, Viui vsfiff “ME—trimonia ⁵855&AEOE
annorum& stites refidua. viduari.

25 948 450 48

26 936 439 53

27 924 427 7Ο

28 913 416 81
29 901 406 89
30 888 395 98
3Ι 875 384 107
32 861 372 117
33 848 360 128

351- —834— 348 138

’,3ς 819 336 147
36 804 324 ¹56

37 789 312 165

38 774 800 ¹74

39 759 2-88— 183

40 744 276 ¹92
41 729 265 199
42 714 254 206
43 698 243 2¹2
44 681 232 217
*45' ‘6154 221 222

46 647 „¹0 227

47 631 199 233

48 6 ¹4 188 238

49 597 178 241

 

 

